URL,Informative_Text
https://mollanbros.co.uk/bookcases,"Salisbury Large Bookcase, Salisbury Low Bookcase, Salisbury Slim Bookcase, Stow Natural Oak Large Bookcase, Stow Painted Bookcase (Blue), Stow Painted Bookcase (Grey), Stow Painted Low 1 Drawer Bookcase (Grey), Stow Painted Low 1 Drawer Bookcase (White), Stow Painted Slim Tall Bookcase (Grey), Stow Painted Slim Tall Bookcase (White)"
https://mollanbros.co.uk/fabric9,"Leroy Chair, Casey Chair, Tamla by Lazboy Chair (Manual Reclining), Lawton by Lazboy, Havana Chair, Orson Chair and footstool, Reese Chair, Russo Chair (Fabric), Dudley Recliner Chair, Baxter Recliner Chair (Azul)"
https://mollanbros.co.uk/newproducts,
https://mollanbros.co.uk/leather-chairs,"Moreno Dining Chair (Dark Grey), Moreno Dining Chair (Light Grey), Ravello Dining Chair - Stone, Savannah Dining Chair (Cream), Savannah Dining Chair (Dark Grey), Savannah Dining Chair (Dove Grey)"
https://mollanbros.co.uk/fabric11,"Lawton by Lazboy, Tamla by Lazboy, Baxter by Lazboy, Herbert Electric Reclining Suite, Casey Suite, Leroy Suite, Phoenix Electric Reclining Suite, Reese Suite, Marseille 3 Seater, Phoenix 3 Seater"
https://mollanbros.co.uk/bedroom,
https://mollanbros.co.uk/leather1,"Augustine 2 Seater Recliner, Winchester 2 Seater Recliner, Nerano 2 Seater (Electric Reclining), Nerano 2 Seater (Fixed), Jefferson by Lazboy 2 Seater (Static), Jefferson by Lazboy 2 Seater (Power Reclining), Sophia 2 Seater, Sloane 2 Seater (Power Reclining with Sensor), Sloane 2 Seater (Static), Kenzie 2 Seater Electric Recliner"
https://mollanbros.co.uk/3-2-1-suites,
https://mollanbros.co.uk/mattresses,
https://mollanbros.co.uk/chloes-mattress,Chloe Mattress
https://mollanbros.co.uk/rugs,"Fantasy Trellis Rug, Luxus Cascade Rug, Luxus Stones Rug, Luxus Teardrop Rug, Patchwork Rug, Plush Rugs, Impulse Coblo Rugs, luxus Cascade Rug, Luxus Stones Rug, bentley Rug"
https://mollanbros.co.uk/fabric12,"Lawton by Lazboy, Tamla by Lazboy, Baxter by Lazboy, Herbert Electric Reclining Suite, Cantrell Suite, Casey Suite, Leroy Suite, Phoenix Electric Reclining Suite, Reese Suite, Marseille 3 Seater"
https://mollanbros.co.uk/3-1-1-suites,
https://mollanbros.co.uk/tv-units,"Lazzaro TV Cabinet, Salisbury Corner TV Unit, Salisbury Corner TV Unit with Baskets, Salisbury Extra Large Low Line TV Unit, Salisbury Extra Large TV Unit, Salisbury Large Low Line TV Unit, Salisbury Large TV Unit, Salisbury TV Unit, Stow Natural Oak Corner TV Unit, Stow Natural Oak Large TV Unit"
https://mollanbros.co.uk/divan-bases,"Chloe Divan Base, Respa Full Opening Divan Base, Respa Standard Divan Base, Respa Bottom Half Opening Divan, Respa Inspire Divan Base, Respa Inspire Full Opening Base, Ultima Ottoman Bed Package Deal"
https://mollanbros.co.uk/accent-chairs,
https://mollanbros.co.uk/fabric4,"Blenheim Accent Chair, Lexi Accent Chair by Alstons, Queen Ann Chair, Artemis Juno Accent Chair, Memphis Gallery Accent Chair, Lowry Wing Chair, Lowry Gallery Accent Chair, Throne Accent Chair, Paris Swivel Chair, Luman Swivel Chair"
https://mollanbros.co.uk/sliding-wardrobes,"Miami 2 Sliding Robe with Wooden Doors (217cm High), Amelia Double Sliding Robe (Cream), Amelia Double Sliding Robe (Grey), Jules Sliderobe"
https://mollanbros.co.uk/fabric-chairs,"Lions Head Dining Chair, Malmo Dining Chair, Sutton Dining Chair, Valent Dining Chair - Blue, Valent Dining Chair - Dark Grey, Valent Dining Chair - Light Grey"
https://mollanbros.co.uk/occasional,
https://mollanbros.co.uk/glenkeen-mattresses,"Glenkeen Pearl Mattress, Glenkeen Opal Mattress, Glenkeen Evolution Mattress, Glenkeen Regal Mattress, Glenkeen Celebration mattress, Glenkeen Deluxe Mattress"
https://mollanbros.co.uk/marble-effect-tables-2,"Venice Cream Marble Effect Dining Table, Venice Grey Marble Effect Dining Table, Savannah Table (Cream Marble Effect), Valente Marble Effect Table, Alden Round Dining Table, Riley Dining Table"
https://mollanbros.co.uk/gloss-dressing-tables,"Miami 6 Drawer Vanity Unit, Miami 3 Drawer Vanity Unit"
https://mollanbros.co.uk/fabric1,"Baxter 2 Seater Sofa (Azul), Blenheim 2 Seater Suite, Paris 2 Seater by Lebus, Trent 2 Seater, Artemis 2 Seater, Fairmont 2 Seater, Memphis 2 Seater, Savannah 2 Seater, Lowry 2 Seater, Casey 2 Seater with Console"
https://mollanbros.co.uk/wooden-tables,"maximus 120cm Table, Salisbury Extending Dining Table, Salisbury Fixed Dining Table, Stow Painted 120cm Fixed Table (Grey), Stow Painted 120cm Fixed Table (White), Stow Painted 140cm Butterfly Extending Table (Grey)"
https://mollanbros.co.uk/reclining-chairs,Positano Chair Manual
https://mollanbros.co.uk/sintered-stone-tables,"Quinn 120cm Rectangular Dining Table, Quinn 160cm Rectangular Dining Table, Quinn 80cm Round Dining Table, Lunar 120cm Round Table, Lunar 140cm Ext Table, Lunar 160cm Ext Table"
https://mollanbros.co.uk/wooden-stools,"Mabel Stool (Taupe), Mabel Stool (White), Troscan Stool, Riviera Stool, Doune Stool, Sorrento Stool"
https://mollanbros.co.uk/dining-chairs,
https://mollanbros.co.uk/sophie-mattress,Sophie Mattress
https://mollanbros.co.uk/leather8,"Nerano (Fixed or Electric Options), Russo Suite, Positano suite"
https://mollanbros.co.uk/3-2-suites,
https://mollanbros.co.uk/sofas,
https://mollanbros.co.uk/footstools,"Lexi Legged Ottoman by Alstons, Lexi Ottoman by Alstons, Lexi Storage Stool by Alstons, Paris Footstool by Lebus, Artemis Legged Ottoman, Artemis Storage Stool, Artemis Footstool, Fairmont Legged Ottoman, Fairmont Storage Stool, Fairmont Footstool"
https://mollanbros.co.uk/office-chairs,"Universal Office Chair (Grey), San Francisco Executive Office Chair (Oak)"
https://mollanbros.co.uk/lift-rise-chairs,"Windsor Single Motor Lift & Rise Chair, Savoy Dual Motor Lift & Tilt Recliner, Parker Lift & Rise Chair (Fabric), Sandringham Dual Motor Lift & Rise Chair, Windsor Dual Motor Lift & Rise Chair (Full Leather), Penrith Electric Lift & Tilt Chair, Riva Rise & Recline Chair, Parker Lift & Tilt Chair (Leather), Lincoln Standard Dual Motor Lift + Rise Chair (Fabric), Windsor Dual Motor Lift + Rise Chair"
https://mollanbros.co.uk/leather-accent-chairs,"Harvey Rocker Recliner Chair by Lazboy, Leandro Electric Reclining Accent Chair"
https://mollanbros.co.uk/leather2,"Augustine 3 Seater Recliner, Winchester 3 Seater Recliner, Nerano 3 Seater (Electric Reclining), Nerano 3 Seater (Fixed), Sophia 3 Seater, Sloane 3 Seater (Power Reclining with Sensor), Sloane 3 Seater (Static), Jefferson by Lazboy 3 Seater (Static), Jefferson by Lazboy 3 Seater (Power Reclining), Kenzie 3 Seater Electric Recliner"
https://mollanbros.co.uk/wooden-chairs,"Danube Oak Dining Chair, Danube Painted Oak Dining Chair, Salisbury Cross Back Chair with Wooden Seat, Salisbury Dining Chair with PU Seat, Salisbury Slatted Chair with Wooden Seat, Stow Natural Oak Chair (Solid Seat)"
https://mollanbros.co.uk/sideboards,"Lazzaro Sideboard, Salisbury Extra Large Sideboard, Salisbury Large Sideboard, Salisbury Mini Cupboard, Salisbury Mini Sideboard, Salisbury Sideboard with Baskets, Salisbury Small Sideboard, Stow Natural Oak 2 Door 2 Drawer Sideboard, Stow Natural Oak 3 Door 3 Drawer Sideboard, Stow Natural Oak Compact Sideboard"
